id,startup_id,update_type,title,description,update_date,is_published,created_by,created_at,updated_at
1,1,Media Feature,ArmBot - Media Feature,"ArmBot has announced a media feature milestone, strengthening its position in the HealthTech space.",2021-11-08,1,1,2021-03-12 00:57:41,2024-05-31 11:45:01
2,1,Revenue Milestone,ArmBot - Revenue Milestone,"ArmBot has announced a revenue milestone milestone, strengthening its position in the HealthTech space.",2020-12-13,1,1,2023-04-01 01:04:05,2024-09-01 03:12:45
3,1,Partnership,ArmBot - Partnership,"ArmBot has announced a partnership milestone, strengthening its position in the HealthTech space.",2021-02-19,1,1,2023-04-07 18:10:46,2023-09-19 16:14:56
4,2,Product Launch,EduLeap Solutions - Product Launch,"EduLeap Solutions has announced a product launch milestone, strengthening its position in the EV space.",2024-02-05,0,1,2020-01-15 16:28:33,2024-03-26 00:18:16
5,3,Government Grant,EcoTech Pro - Government Grant,"EcoTech Pro has announced a government grant milestone, strengthening its position in the Renewable Energy space.",2024-02-06,1,1,2023-12-11 13:42:25,2023-07-15 07:45:12
6,3,Government Grant,EcoTech Pro - Government Grant,"EcoTech Pro has announced a government grant milestone, strengthening its position in the Renewable Energy space.",2024-10-04,1,1,2023-05-30 19:07:41,2024-08-13 06:01:49
7,3,Partnership,EcoTech Pro - Partnership,"EcoTech Pro has announced a partnership milestone, strengthening its position in the Renewable Energy space.",2022-07-08,1,1,2021-09-25 04:21:26,2023-03-09 08:09:48
8,3,Media Feature,EcoTech Pro - Media Feature,"EcoTech Pro has announced a media feature milestone, strengthening its position in the Renewable Energy space.",2023-03-29,0,1,2020-08-17 02:20:38,2023-06-30 08:30:02
9,3,Hiring,EcoTech Pro - Hiring,"EcoTech Pro has announced a hiring milestone, strengthening its position in the Renewable Energy space.",2023-10-27,0,1,2020-04-10 22:52:41,2024-04-07 05:33:21
10,3,Award,EcoTech Pro - Award,"EcoTech Pro has announced a award milestone, strengthening its position in the Renewable Energy space.",2024-07-06,0,1,2021-09-28 02:01:55,2024-09-08 15:31:54
11,4,Media Feature,ChefBot Labs - Media Feature,"ChefBot Labs has announced a media feature milestone, strengthening its position in the AgriTech space.",2023-05-31,1,1,2021-04-18 00:46:46,2024-12-30 12:41:54
12,4,Revenue Milestone,ChefBot Labs - Revenue Milestone,"ChefBot Labs has announced a revenue milestone milestone, strengthening its position in the AgriTech space.",2019-09-20,1,1,2024-03-29 17:41:07,2023-06-27 13:30:22
13,5,Media Feature,WealthApp Box - Media Feature,"WealthApp Box has announced a media feature milestone, strengthening its position in the ClimateTech space.",2023-01-20,0,1,2023-10-19 05:39:30,2024-10-04 02:27:59
14,5,Funding,WealthApp Box - Funding,"WealthApp Box has announced a funding milestone, strengthening its position in the ClimateTech space.",2022-12-10,1,1,2022-03-04 17:27:53,2023-12-14 21:42:57
15,5,Award,WealthApp Box - Award,"WealthApp Box has announced a award milestone, strengthening its position in the ClimateTech space.",2022-10-30,1,1,2020-10-30 19:38:33,2023-03-09 16:06:21
16,5,Government Grant,WealthApp Box - Government Grant,"WealthApp Box has announced a government grant milestone, strengthening its position in the ClimateTech space.",2023-12-13,1,1,2024-08-19 19:09:18,2023-08-12 19:58:44
17,5,Partnership,WealthApp Box - Partnership,"WealthApp Box has announced a partnership milestone, strengthening its position in the ClimateTech space.",2021-10-04,0,1,2020-06-24 01:37:45,2023-02-05 16:13:42
18,6,Patent Filed,TaxiApp Solutions - Patent Filed,"TaxiApp Solutions has announced a patent filed milestone, strengthening its position in the HealthTech space.",2024-10-03,1,1,2021-10-23 14:36:39,2024-10-29 07:42:36
19,6,Revenue Milestone,TaxiApp Solutions - Revenue Milestone,"TaxiApp Solutions has announced a revenue milestone milestone, strengthening its position in the HealthTech space.",2024-11-06,1,1,2020-02-10 21:46:37,2023-07-14 07:22:14
20,6,Product Launch,TaxiApp Solutions - Product Launch,"TaxiApp Solutions has announced a product launch milestone, strengthening its position in the HealthTech space.",2024-02-25,1,1,2023-03-09 02:40:44,2024-11-10 15:41:55
21,6,Expansion,TaxiApp Solutions - Expansion,"TaxiApp Solutions has announced a expansion milestone, strengthening its position in the HealthTech space.",2023-03-17,1,1,2021-02-18 22:32:45,2024-08-15 21:46:56
22,6,Media Feature,TaxiApp Solutions - Media Feature,"TaxiApp Solutions has announced a media feature milestone, strengthening its position in the HealthTech space.",2023-04-18,1,1,2020-12-24 15:26:53,2023-10-06 23:04:55
23,6,Product Launch,TaxiApp Solutions - Product Launch,"TaxiApp Solutions has announced a product launch milestone, strengthening its position in the HealthTech space.",2024-10-14,1,1,2024-01-18 20:04:44,2023-11-23 21:29:45
24,7,Media Feature,SecureNet Plus - Media Feature,"SecureNet Plus has announced a media feature milestone, strengthening its position in the Robotics space.",2016-12-28,1,1,2024-11-18 16:56:21,2024-10-09 05:58:03
25,7,Product Launch,SecureNet Plus - Product Launch,"SecureNet Plus has announced a product launch milestone, strengthening its position in the Robotics space.",2020-07-11,0,1,2020-12-26 06:08:36,2024-01-20 03:09:20
26,7,Hiring,SecureNet Plus - Hiring,"SecureNet Plus has announced a hiring milestone, strengthening its position in the Robotics space.",2015-06-27,1,1,2022-04-14 14:53:01,2024-07-09 13:07:47
27,8,Media Feature,PowerGrid Plus - Media Feature,"PowerGrid Plus has announced a media feature milestone, strengthening its position in the FoodTech space.",2018-08-03,1,1,2022-08-03 14:06:37,2024-10-11 17:20:34
28,8,Government Grant,PowerGrid Plus - Government Grant,"PowerGrid Plus has announced a government grant milestone, strengthening its position in the FoodTech space.",2022-10-15,0,1,2020-06-03 11:56:48,2023-09-20 11:22:02
29,8,Expansion,PowerGrid Plus - Expansion,"PowerGrid Plus has announced a expansion milestone, strengthening its position in the FoodTech space.",2021-08-23,1,1,2020-07-03 14:27:20,2024-05-20 16:44:18
30,8,Media Feature,PowerGrid Plus - Media Feature,"PowerGrid Plus has announced a media feature milestone, strengthening its position in the FoodTech space.",2022-05-05,0,1,2023-04-02 14:37:57,2024-10-11 07:46:24
31,8,Government Grant,PowerGrid Plus - Government Grant,"PowerGrid Plus has announced a government grant milestone, strengthening its position in the FoodTech space.",2023-07-06,1,1,2022-07-30 16:55:40,2024-05-30 14:17:24
32,9,Partnership,CellBio Tech - Partnership,"CellBio Tech has announced a partnership milestone, strengthening its position in the Renewable Energy space.",2013-06-21,1,1,2024-02-11 17:36:16,2023-01-07 10:27:55
33,9,Patent Filed,CellBio Tech - Patent Filed,"CellBio Tech has announced a patent filed milestone, strengthening its position in the Renewable Energy space.",2022-02-24,1,1,2022-08-01 02:49:36,2024-02-28 02:20:04
34,9,Partnership,CellBio Tech - Partnership,"CellBio Tech has announced a partnership milestone, strengthening its position in the Renewable Energy space.",2017-10-28,1,1,2024-09-15 08:52:25,2024-05-16 11:25:42
35,10,Expansion,TasteBox India - Expansion,"TasteBox India has announced a expansion milestone, strengthening its position in the SaaS space.",2017-09-07,1,1,2024-12-21 23:30:53,2023-11-30 05:43:53
36,10,Government Grant,TasteBox India - Government Grant,"TasteBox India has announced a government grant milestone, strengthening its position in the SaaS space.",2024-03-09,1,1,2022-09-16 08:54:30,2023-07-13 04:52:24
37,11,Partnership,PayZen Tech - Partnership,"PayZen Tech has announced a partnership milestone, strengthening its position in the Cybersecurity space.",2017-12-30,1,1,2024-08-13 15:05:51,2023-09-02 15:43:55
38,11,Media Feature,PayZen Tech - Media Feature,"PayZen Tech has announced a media feature milestone, strengthening its position in the Cybersecurity space.",2015-01-09,0,1,2020-09-07 21:06:11,2023-11-11 12:14:22
39,11,Partnership,PayZen Tech - Partnership,"PayZen Tech has announced a partnership milestone, strengthening its position in the Cybersecurity space.",2015-01-27,1,1,2020-05-06 21:18:11,2024-10-22 09:36:39
