id,sector_name,description,is_priority_sector,created_at,updated_at
1,FinTech,Financial Technology,Yes,2019-01-12 21:46:07,2024-10-28 17:48:17
2,HealthTech,Health Technology,Yes,2020-10-18 10:07:18,2023-06-10 05:29:00
3,EdTech,Education Technology,Yes,2019-09-27 16:48:11,2023-11-06 03:55:40
4,AgriTech,Agricultural Technology,Yes,2019-11-02 20:32:38,2022-02-12 04:23:48
5,AI/ML,Artificial Intelligence & Machine Learning,Yes,2019-06-15 17:49:59,2023-12-23 00:38:20
6,SaaS,Software as a Service,No,2020-05-15 00:07:59,2023-01-14 09:15:03
7,E-Commerce,Electronic Commerce,No,2019-09-04 18:05:05,2023-09-23 02:48:34
8,Logistics,Logistics & Supply Chain,No,2019-05-09 04:42:30,2024-01-31 05:16:33
9,Renewable Energy,Clean & Renewable Energy,Yes,2020-09-13 13:13:59,2024-01-10 23:44:12
10,DeepTech,Deep Technology,No,2020-12-31 09:25:42,2024-08-23 11:28:57
11,Cybersecurity,Cybersecurity & Data Protection,No,2020-06-13 14:07:15,2022-04-06 02:21:01
12,BioTech,Biotechnology,No,2020-08-25 17:14:37,2022-03-28 00:04:45
13,Mobility,Urban Mobility & Transportation,No,2020-10-08 01:14:04,2021-03-06 10:04:32
14,EV,Electric Vehicles,Yes,2019-09-01 08:42:31,2022-03-15 17:08:46
15,Robotics,Robotics & Automation,No,2020-08-07 18:30:15,2023-08-27 13:12:06
16,ClimateTech,Climate Technology,Yes,2019-04-10 21:27:22,2023-05-18 13:29:55
17,FoodTech,Food Technology,No,2019-02-25 21:41:41,2021-07-21 01:25:46
