id,startup_id,tag,created_at,updated_at
1,1,women-led,2022-03-29 18:57:44,2024-06-09 09:01:18
2,1,unicorn,2024-12-09 03:04:57,2024-08-03 23:30:40
3,2,bootstrapped,2021-02-24 13:43:19,2023-06-02 03:08:01
4,2,rural-focus,2021-06-11 04:16:44,2023-02-09 11:22:01
5,2,profitable,2023-02-25 01:04:41,2024-01-22 10:26:41
6,2,soonicorn,2021-05-15 05:30:03,2024-01-11 22:32:49
7,2,unicorn,2022-08-10 03:20:46,2023-12-11 09:40:35
8,3,high-growth,2022-07-05 11:25:37,2024-07-17 08:00:20
9,3,series-a-ready,2021-02-25 08:26:37,2023-10-24 09:44:14
10,3,deep-tech,2022-10-11 21:43:29,2023-07-30 21:40:20
11,3,d2c,2023-03-09 13:40:45,2023-04-19 12:35:36
12,3,b2c,2022-10-14 12:26:31,2023-01-19 16:08:34
13,3,bootstrapped,2023-12-07 04:13:00,2023-11-24 00:19:27
14,3,unicorn,2022-03-02 12:46:47,2023-02-16 11:45:35
15,4,social-impact,2023-02-22 15:56:54,2023-01-11 16:07:20
16,4,government-backed,2021-11-28 22:42:04,2023-03-12 10:00:31
17,4,seed-stage,2022-05-03 04:57:18,2024-10-25 18:28:54
18,4,b2b,2022-09-22 10:03:57,2023-10-20 11:49:58
19,4,ipo-bound,2021-09-23 20:52:57,2024-01-24 10:32:49
20,4,unicorn,2021-04-09 05:37:01,2023-08-02 06:51:43
21,5,rural-focus,2024-10-08 11:29:53,2024-01-18 17:17:39
22,5,profitable,2023-07-01 01:17:19,2023-10-02 00:45:58
23,5,unicorn,2022-05-16 10:49:51,2023-07-07 19:20:34
24,6,patent-holder,2021-02-20 17:23:13,2023-07-12 01:07:34
25,6,ipo-bound,2021-11-26 17:56:23,2024-10-23 20:44:36
26,6,ai-first,2022-10-14 17:26:32,2024-08-11 19:23:37
27,6,government-backed,2023-11-11 08:31:51,2023-06-24 06:02:00
28,6,high-growth,2024-03-23 21:35:24,2024-12-16 23:30:47
29,6,unicorn,2023-04-24 16:59:52,2024-12-02 13:39:07
30,7,b2b,2023-09-03 08:19:01,2024-01-30 11:49:01
31,7,unicorn,2022-03-23 07:49:12,2024-05-11 11:56:57
32,8,climate-positive,2022-11-08 06:46:41,2023-04-04 07:30:48
33,8,women-led,2021-06-13 09:18:11,2024-02-06 16:16:00
34,8,unicorn,2021-11-03 14:32:26,2024-07-15 02:09:49
35,9,ai-first,2023-04-23 00:15:04,2024-12-15 15:21:08
36,9,high-growth,2022-04-23 21:44:18,2023-06-13 15:30:50
37,9,unicorn,2023-07-29 22:15:13,2024-05-03 18:09:09
38,9,rural-focus,2022-05-23 04:20:05,2023-06-18 17:23:49
39,10,export-focused,2021-05-30 16:49:56,2024-08-30 04:50:45
40,10,seed-stage,2023-08-09 05:06:40,2023-03-03 15:08:13
41,10,b2c,2021-07-13 19:39:56,2023-11-30 19:18:58
42,11,social-impact,2021-01-26 21:11:11,2024-12-10 22:45:39
43,11,high-growth,2021-04-07 23:40:37,2024-12-24 18:31:52
44,11,unicorn,2024-05-04 08:36:39,2023-02-10 01:01:31
45,11,deep-tech,2022-07-21 19:12:47,2023-01-09 18:46:15
46,11,soonicorn,2022-09-25 09:15:53,2023-09-07 13:12:10
47,12,climate-positive,2023-11-18 03:07:30,2023-02-02 17:59:05
48,12,government-backed,2022-03-11 23:09:33,2023-04-20 10:28:50
49,13,profitable,2023-02-14 03:03:47,2024-08-21 12:47:49
50,14,climate-positive,2024-09-29 16:23:05,2024-03-07 20:57:05
51,14,b2c,2022-01-19 12:38:37,2024-07-26 20:37:48
52,15,deep-tech,2023-05-30 18:25:44,2023-08-13 06:52:55
53,15,b2c,2023-06-29 19:21:46,2023-07-17 09:02:24
54,15,patent-holder,2023-03-07 17:07:24,2023-09-18 17:47:18
55,15,profitable,2023-12-16 03:31:15,2023-03-07 11:34:20
56,16,government-backed,2021-03-13 17:30:43,2024-01-08 22:38:12
57,16,b2c,2024-10-03 18:46:06,2023-02-20 04:44:40
58,17,women-led,2024-07-01 11:01:40,2023-10-29 15:31:10
59,17,b2b,2024-06-28 22:04:57,2023-01-18 18:23:38
60,17,bootstrapped,2023-05-16 11:55:27,2024-05-05 01:10:12
61,17,d2c,2024-11-01 19:22:51,2024-03-26 11:19:55
62,17,ipo-bound,2023-03-25 04:06:47,2024-02-16 05:18:17
